dataset	approach	fold	activity	metric	value
Helpdesk	Pasquadibisceglie	fold_0	Closed	Recall	0.11604166666666667
Helpdesk	Pasquadibisceglie	fold_0	Closed	Precision	0.3333333333333333
Helpdesk	Pasquadibisceglie	fold_0	Closed	F1 - Score(macro)	0.172152681193015
Helpdesk	Pasquadibisceglie	fold_0	Closed	F1 - Score(micro)	0.348125
Helpdesk	Pasquadibisceglie	fold_0	Assign seriousness	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_0	Assign seriousness	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_0	Assign seriousness	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_0	Assign seriousness	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Assign seriousness	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Wait	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_0	Wait	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_0	Wait	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_0	Wait	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Wait	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Require upgrade	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_0	Require upgrade	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_0	Require upgrade	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_0	Require upgrade	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Require upgrade	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Create SW anomaly	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_0	Create SW anomaly	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_0	Create SW anomaly	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_0	Create SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Create SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Schedule intervention	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_0	Schedule intervention	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_0	Schedule intervention	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_0	Schedule intervention	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Schedule intervention	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Resolve SW anomaly	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_0	Resolve SW anomaly	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_0	Resolve SW anomaly	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_0	Resolve SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	Resolve SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	Resolve ticket	Accuracy	0.8064992614475628
Helpdesk	Pasquadibisceglie	fold_1	Resolve ticket	Recall	0.2688330871491876
Helpdesk	Pasquadibisceglie	fold_1	Resolve ticket	Precision	0.3333333333333333
Helpdesk	Pasquadibisceglie	fold_1	Resolve ticket	F1 - Score(macro)	0.29762878168438267
Helpdesk	Pasquadibisceglie	fold_1	Resolve ticket	F1 - Score(micro)	0.8064992614475628
Helpdesk	Pasquadibisceglie	fold_1	Closed	Accuracy	0.5671077504725898
Helpdesk	Pasquadibisceglie	fold_1	Closed	Recall	0.1890359168241966
Helpdesk	Pasquadibisceglie	fold_1	Closed	Precision	0.3333333333333333
Helpdesk	Pasquadibisceglie	fold_1	Closed	F1 - Score(macro)	0.24125452352231602
Helpdesk	Pasquadibisceglie	fold_1	Closed	F1 - Score(micro)	0.5671077504725898
Helpdesk	Pasquadibisceglie	fold_1	Take in charge ticket	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_1	Take in charge ticket	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_1	Take in charge ticket	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_1	Take in charge ticket	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	Take in charge ticket	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	Wait	Accuracy	0.001589825119236884
Helpdesk	Pasquadibisceglie	fold_1	Wait	Recall	0.0005299417064122947
Helpdesk	Pasquadibisceglie	fold_1	Wait	Precision	0.3333333333333333
Helpdesk	Pasquadibisceglie	fold_1	Wait	F1 - Score(macro)	0.0010582010582010583
Helpdesk	Pasquadibisceglie	fold_1	Wait	F1 - Score(micro)	0.001589825119236884
Helpdesk	Pasquadibisceglie	fold_1	Create SW anomaly	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_1	Create SW anomaly	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_1	Create SW anomaly	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_1	Create SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	Create SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	Require upgrade	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_1	Require upgrade	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_1	Require upgrade	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_1	Require upgrade	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	Require upgrade	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	Assign seriousness	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_1	Assign seriousness	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_1	Assign seriousness	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_1	Assign seriousness	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	Assign seriousness	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	Resolve SW anomaly	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_1	Resolve SW anomaly	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_1	Resolve SW anomaly	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_1	Resolve SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	Resolve SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	RESOLVED	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_1	RESOLVED	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_1	RESOLVED	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_1	RESOLVED	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	RESOLVED	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	INVALID	Accuracy	0.0
Helpdesk	Pasquadibisceglie	fold_1	INVALID	Recall	0.0
Helpdesk	Pasquadibisceglie	fold_1	INVALID	Precision	0.0
Helpdesk	Pasquadibisceglie	fold_1	INVALID	F1 - Score(macro)	0.0
Helpdesk	Pasquadibisceglie	fold_1	INVALID	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	Take in charge ticket	Accuracy	0.0
Helpdesk	Tax	fold_0	Take in charge ticket	Recall	0.0
Helpdesk	Tax	fold_0	Take in charge ticket	Precision	0.0
Helpdesk	Tax	fold_0	Take in charge ticket	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	Take in charge ticket	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	Resolve ticket	Accuracy	0.0
Helpdesk	Tax	fold_0	Resolve ticket	Recall	0.0
Helpdesk	Tax	fold_0	Resolve ticket	Precision	0.0
Helpdesk	Tax	fold_0	Resolve ticket	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	Resolve ticket	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	Closed	Accuracy	0.0
Helpdesk	Tax	fold_0	Closed	Recall	0.0
Helpdesk	Tax	fold_0	Closed	Precision	0.0
Helpdesk	Tax	fold_0	Closed	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	Closed	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	Assign seriousness	Accuracy	0.0
Helpdesk	Tax	fold_0	Assign seriousness	Recall	0.0
Helpdesk	Tax	fold_0	Assign seriousness	Precision	0.0
Helpdesk	Tax	fold_0	Assign seriousness	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	Assign seriousness	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	Wait	Accuracy	0.0
Helpdesk	Tax	fold_0	Wait	Recall	0.0
Helpdesk	Tax	fold_0	Wait	Precision	0.0
Helpdesk	Tax	fold_0	Wait	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	Wait	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	Require upgrade	Accuracy	0.0
Helpdesk	Tax	fold_0	Require upgrade	Recall	0.0
Helpdesk	Tax	fold_0	Require upgrade	Precision	0.0
Helpdesk	Tax	fold_0	Require upgrade	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	Require upgrade	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	Create SW anomaly	Accuracy	0.0
Helpdesk	Tax	fold_0	Create SW anomaly	Recall	0.0
Helpdesk	Tax	fold_0	Create SW anomaly	Precision	0.0
Helpdesk	Tax	fold_0	Create SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	Create SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	Schedule intervention	Accuracy	0.0
Helpdesk	Tax	fold_0	Schedule intervention	Recall	0.0
Helpdesk	Tax	fold_0	Schedule intervention	Precision	0.0
Helpdesk	Tax	fold_0	Schedule intervention	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	Schedule intervention	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	Resolve SW anomaly	Accuracy	0.3333333333333333
Helpdesk	Tax	fold_0	Resolve SW anomaly	Recall	0.1111111111111111
Helpdesk	Tax	fold_0	Resolve SW anomaly	Precision	0.3333333333333333
Helpdesk	Tax	fold_0	Resolve SW anomaly	F1 - Score(macro)	0.16666666666666666
Helpdesk	Tax	fold_0	Resolve SW anomaly	F1 - Score(micro)	0.3333333333333333
Helpdesk	Tax	fold_1	Resolve ticket	Accuracy	0.7045790251107829
Helpdesk	Tax	fold_1	Resolve ticket	Recall	0.23485967503692762
Helpdesk	Tax	fold_1	Resolve ticket	Precision	0.3333333333333333
Helpdesk	Tax	fold_1	Resolve ticket	F1 - Score(macro)	0.2755632582322357
Helpdesk	Tax	fold_1	Resolve ticket	F1 - Score(micro)	0.7045790251107829
Helpdesk	Tax	fold_1	Closed	Accuracy	0.0
Helpdesk	Tax	fold_1	Closed	Recall	0.0
Helpdesk	Tax	fold_1	Closed	Precision	0.0
Helpdesk	Tax	fold_1	Closed	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_1	Closed	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_1	Take in charge ticket	Accuracy	0.0
Helpdesk	Tax	fold_1	Take in charge ticket	Recall	0.0
Helpdesk	Tax	fold_1	Take in charge ticket	Precision	0.0
Helpdesk	Tax	fold_1	Take in charge ticket	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_1	Take in charge ticket	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_1	Wait	Accuracy	0.0
Helpdesk	Tax	fold_1	Wait	Recall	0.0
Helpdesk	Tax	fold_1	Wait	Precision	0.0
Helpdesk	Tax	fold_1	Wait	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_1	Wait	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_1	Create SW anomaly	Accuracy	0.0
Helpdesk	Tax	fold_1	Create SW anomaly	Recall	0.0
Helpdesk	Tax	fold_1	Create SW anomaly	Precision	0.0
Helpdesk	Tax	fold_1	Create SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_1	Create SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_1	Require upgrade	Accuracy	0.0
Helpdesk	Tax	fold_1	Require upgrade	Recall	0.0
Helpdesk	Tax	fold_1	Require upgrade	Precision	0.0
Helpdesk	Tax	fold_1	Require upgrade	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_1	Require upgrade	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_1	Assign seriousness	Accuracy	0.0
Helpdesk	Tax	fold_1	Assign seriousness	Recall	0.0
Helpdesk	Tax	fold_1	Assign seriousness	Precision	0.0
Helpdesk	Tax	fold_1	Assign seriousness	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_1	Assign seriousness	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_1	Resolve SW anomaly	Accuracy	0.0
Helpdesk	Tax	fold_1	Resolve SW anomaly	Recall	0.0
Helpdesk	Tax	fold_1	Resolve SW anomaly	Precision	0.0
Helpdesk	Tax	fold_1	Resolve SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_1	Resolve SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_1	RESOLVED	Accuracy	0.0
Helpdesk	Tax	fold_1	RESOLVED	Recall	0.0
Helpdesk	Tax	fold_1	RESOLVED	Precision	0.0
Helpdesk	Tax	fold_1	RESOLVED	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_1	RESOLVED	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_1	INVALID	Accuracy	0.0
Helpdesk	Tax	fold_1	INVALID	Recall	0.0
Helpdesk	Tax	fold_1	INVALID	Precision	0.0
Helpdesk	Tax	fold_1	INVALID	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_1	INVALID	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_0	Take in charge ticket	Accuracy	0.06854838709677419
Helpdesk	Theis	fold_0	Take in charge ticket	Recall	0.022849462365591395
Helpdesk	Theis	fold_0	Take in charge ticket	Precision	0.3333333333333333
Helpdesk	Theis	fold_0	Take in charge ticket	F1 - Score(macro)	0.04276729559748427
Helpdesk	Theis	fold_0	Take in charge ticket	F1 - Score(micro)	0.06854838709677419
Helpdesk	Theis	fold_0	Resolve ticket	Accuracy	0.6904176904176904
Helpdesk	Theis	fold_0	Resolve ticket	Recall	0.23013923013923013
Helpdesk	Theis	fold_0	Resolve ticket	Precision	0.3333333333333333
Helpdesk	Theis	fold_0	Resolve ticket	F1 - Score(macro)	0.27228682170542634
Helpdesk	Theis	fold_0	Resolve ticket	F1 - Score(micro)	0.6904176904176904
Helpdesk	Theis	fold_0	Closed	Accuracy	0.595625
Helpdesk	Theis	fold_0	Closed	Recall	0.19854166666666664
Helpdesk	Theis	fold_0	Closed	Precision	0.3333333333333333
Helpdesk	Theis	fold_0	Closed	F1 - Score(macro)	0.24885755320537928
Helpdesk	Theis	fold_0	Closed	F1 - Score(micro)	0.595625
Helpdesk	Theis	fold_0	Assign seriousness	Accuracy	0.0
Helpdesk	Theis	fold_0	Assign seriousness	Recall	0.0
Helpdesk	Theis	fold_0	Assign seriousness	Precision	0.0
Helpdesk	Theis	fold_0	Assign seriousness	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_0	Assign seriousness	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_0	Wait	Accuracy	0.0
Helpdesk	Theis	fold_0	Wait	Recall	0.0
Helpdesk	Theis	fold_0	Wait	Precision	0.0
Helpdesk	Theis	fold_0	Wait	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_0	Wait	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_0	Require upgrade	Accuracy	0.0
Helpdesk	Theis	fold_0	Require upgrade	Recall	0.0
Helpdesk	Theis	fold_0	Require upgrade	Precision	0.0
Helpdesk	Theis	fold_0	Require upgrade	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_0	Require upgrade	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_0	Create SW anomaly	Accuracy	0.0
Helpdesk	Theis	fold_0	Create SW anomaly	Recall	0.0
Helpdesk	Theis	fold_0	Create SW anomaly	Precision	0.0
Helpdesk	Theis	fold_0	Create SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_0	Create SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_0	Schedule intervention	Accuracy	0.0
Helpdesk	Theis	fold_0	Schedule intervention	Recall	0.0
Helpdesk	Theis	fold_0	Schedule intervention	Precision	0.0
Helpdesk	Theis	fold_0	Schedule intervention	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_0	Schedule intervention	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_0	Resolve SW anomaly	Accuracy	0.0
Helpdesk	Theis	fold_0	Resolve SW anomaly	Recall	0.0
Helpdesk	Theis	fold_0	Resolve SW anomaly	Precision	0.0
Helpdesk	Theis	fold_0	Resolve SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_0	Resolve SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_1	Resolve ticket	Accuracy	0.7006400787789266
Helpdesk	Theis	fold_1	Resolve ticket	Recall	0.2335466929263089
Helpdesk	Theis	fold_1	Resolve ticket	Precision	0.3333333333333333
Helpdesk	Theis	fold_1	Resolve ticket	F1 - Score(macro)	0.2746574020459371
Helpdesk	Theis	fold_1	Resolve ticket	F1 - Score(micro)	0.7006400787789266
Helpdesk	Theis	fold_1	Closed	Accuracy	0.6093257718966604
Helpdesk	Theis	fold_1	Closed	Recall	0.20310859063222012
Helpdesk	Theis	fold_1	Closed	Precision	0.3333333333333333
Helpdesk	Theis	fold_1	Closed	F1 - Score(macro)	0.2524145131819368
Helpdesk	Theis	fold_1	Closed	F1 - Score(micro)	0.6093257718966604
Helpdesk	Theis	fold_1	Take in charge ticket	Accuracy	0.07879924953095685
Helpdesk	Theis	fold_1	Take in charge ticket	Recall	0.02626641651031895
Helpdesk	Theis	fold_1	Take in charge ticket	Precision	0.3333333333333333
Helpdesk	Theis	fold_1	Take in charge ticket	F1 - Score(macro)	0.04869565217391305
Helpdesk	Theis	fold_1	Take in charge ticket	F1 - Score(micro)	0.07879924953095685
Helpdesk	Theis	fold_1	Wait	Accuracy	0.0
Helpdesk	Theis	fold_1	Wait	Recall	0.0
Helpdesk	Theis	fold_1	Wait	Precision	0.0
Helpdesk	Theis	fold_1	Wait	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_1	Wait	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_1	Create SW anomaly	Accuracy	0.0
Helpdesk	Theis	fold_1	Create SW anomaly	Recall	0.0
Helpdesk	Theis	fold_1	Create SW anomaly	Precision	0.0
Helpdesk	Theis	fold_1	Create SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_1	Create SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_1	Require upgrade	Accuracy	0.0
Helpdesk	Theis	fold_1	Require upgrade	Recall	0.0
Helpdesk	Theis	fold_1	Require upgrade	Precision	0.0
Helpdesk	Theis	fold_1	Require upgrade	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_1	Require upgrade	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_1	Assign seriousness	Accuracy	0.0
Helpdesk	Theis	fold_1	Assign seriousness	Recall	0.0
Helpdesk	Theis	fold_1	Assign seriousness	Precision	0.0
Helpdesk	Theis	fold_1	Assign seriousness	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_1	Assign seriousness	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_1	Resolve SW anomaly	Accuracy	0.0
Helpdesk	Theis	fold_1	Resolve SW anomaly	Recall	0.0
Helpdesk	Theis	fold_1	Resolve SW anomaly	Precision	0.0
Helpdesk	Theis	fold_1	Resolve SW anomaly	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_1	Resolve SW anomaly	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_1	RESOLVED	Accuracy	0.0
Helpdesk	Theis	fold_1	RESOLVED	Recall	0.0
Helpdesk	Theis	fold_1	RESOLVED	Precision	0.0
Helpdesk	Theis	fold_1	RESOLVED	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_1	RESOLVED	F1 - Score(micro)	0.0
Helpdesk	Theis	fold_1	INVALID	Accuracy	0.0
Helpdesk	Theis	fold_1	INVALID	Recall	0.0
Helpdesk	Theis	fold_1	INVALID	Precision	0.0
Helpdesk	Theis	fold_1	INVALID	F1 - Score(macro)	0.0
Helpdesk	Theis	fold_1	INVALID	F1 - Score(micro)	0.0
